sweep,label,generator,n,requested_threads,omp_schedule,omp_chunk,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t20,corr,256,20,guided,1,7,1,0.000737662,0.000753460,0.000750716,0.000765674,5592405.333333333,7.422298905,524288.000000000,0.500000000
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t24,corr,256,24,guided,1,7,1,0.000744866,0.000747840,0.000747810,0.000752089,5592405.333333333,7.478077307,524288.000000000,0.500000000
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t28,corr,256,28,guided,1,7,1,0.000725008,0.000735721,0.000740836,0.000765565,5592405.333333333,7.601258267,524288.000000000,0.500000000
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t32,corr,256,32,guided,1,7,1,0.000753031,0.000761063,0.000763798,0.000774201,5592405.333333333,7.348150328,524288.000000000,0.500000000
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t64,corr,256,64,guided,1,7,1,0.001256928,0.001298369,0.001298525,0.001332567,5592405.333333333,4.307254204,524288.000000000,0.500000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t1,corr,1024,1,guided,1,7,1,0.065824904,0.065842822,0.065881788,0.066132128,357913941.333333313,5.435883980,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t2,corr,1024,2,guided,1,7,1,0.036434366,0.036647262,0.036644606,0.036836539,357913941.333333313,9.766457896,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t4,corr,1024,4,guided,1,7,1,0.021615318,0.021719868,0.021722193,0.021800145,357913941.333333313,16.478642565,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t6,corr,1024,6,guided,1,7,1,0.016355703,0.016517132,0.016496775,0.016554239,357913941.333333313,21.669254767,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t8,corr,1024,8,guided,1,7,1,0.014098848,0.014290238,0.014254578,0.014369702,357913941.333333313,25.046044813,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t10,corr,1024,10,guided,1,7,1,0.012955642,0.013044735,0.013041797,0.013103115,357913941.333333313,27.437425240,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t12,corr,1024,12,guided,1,7,1,0.012241701,0.012327457,0.012328346,0.012406697,357913941.333333313,29.033882765,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t14,corr,1024,14,guided,1,7,1,0.011542486,0.011641314,0.011624072,0.011705586,357913941.333333313,30.745149674,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t16,corr,1024,16,guided,1,7,1,0.011004369,0.011048827,0.011065498,0.011138776,357913941.333333313,32.393840661,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t18,corr,1024,18,guided,1,7,1,0.010688970,0.010851019,0.010832567,0.010909618,357913941.333333313,32.984362237,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t20,corr,1024,20,guided,1,7,1,0.010536057,0.010678789,0.010680021,0.010820654,357913941.333333313,33.516341725,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t24,corr,1024,24,guided,1,7,1,0.010716398,0.010775536,0.010790960,0.010872079,357913941.333333313,33.215418828,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t28,corr,1024,28,guided,1,7,1,0.010840904,0.010965973,0.010984722,0.011128500,357913941.333333313,32.638594070,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t32,corr,1024,32,guided,1,7,1,0.011218632,0.011280713,0.011291548,0.011390318,357913941.333333313,31.727953839,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n1024_t64,corr,1024,64,guided,1,7,1,0.013980906,0.014002942,0.014050620,0.014225373,357913941.333333313,25.559910291,8388608.000000000,8.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t1,corr,2048,1,guided,1,7,1,0.522543221,0.522824627,0.522820597,0.523376033,2863311530.666666508,5.476619468,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t2,corr,2048,2,guided,1,7,1,0.271372801,0.271680007,0.271821376,0.272248924,2863311530.666666508,10.539279509,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t4,corr,2048,4,guided,1,7,1,0.146848046,0.147000071,0.147022226,0.147215301,2863311530.666666508,19.478300325,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t6,corr,2048,6,guided,1,7,1,0.105562877,0.105858107,0.105825622,0.106001925,2863311530.666666508,27.048580518,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t8,corr,2048,8,guided,1,7,1,0.083152541,0.083342744,0.083326454,0.083519843,2863311530.666666508,34.355858630,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t10,corr,2048,10,guided,1,7,1,0.070629812,0.070763216,0.070766904,0.070965139,2863311530.666666508,40.463275873,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t12,corr,2048,12,guided,1,7,1,0.061868818,0.061981515,0.061972491,0.062040758,2863311530.666666508,46.196217222,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t14,corr,2048,14,guided,1,7,1,0.055609814,0.055723072,0.055718562,0.055847008,2863311530.666666508,51.384667569,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t16,corr,2048,16,guided,1,7,1,0.051402969,0.051425143,0.051450489,0.051517949,2863311530.666666508,55.679213778,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t18,corr,2048,18,guided,1,7,1,0.048413868,0.048506049,0.048542272,0.048734186,2863311530.666666508,59.029988830,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t20,corr,2048,20,guided,1,7,1,0.046481764,0.046612239,0.046600991,0.046704119,2863311530.666666508,61.428319945,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t24,corr,2048,24,guided,1,7,1,0.043241190,0.043300868,0.043316926,0.043454267,2863311530.666666508,66.125961509,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t28,corr,2048,28,guided,1,7,1,0.041597046,0.041720851,0.041724680,0.041939357,2863311530.666666508,68.630228340,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t32,corr,2048,32,guided,1,7,1,0.040830001,0.041078829,0.041072430,0.041259299,2863311530.666666508,69.702851819,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n2048_t64,corr,2048,64,guided,1,7,1,0.045558775,0.045878962,0.045829665,0.046030761,2863311530.666666508,62.410120148,33554432.000000000,32.000000000
